"ID","REF_INSEE","NAME","SLUG","NORMALIZED","DEPARTMENT","REGION","IS_DISTRICT","DISTRICT_OF","ZIP_CODES","LATITUDE","LONGITUDE"
"1","01001","L'Abergement-Clémenciat","l-abergement-clemenciat","l abergement clemenciat","01","84","0",,"01400","46.1534255214","4.92611354223"
"2","01002","L'Abergement-de-Varey","l-abergement-de-varey","l abergement de varey","01","84","0",,"01640","46.0091878776","5.42801696363"
"3","01004","Ambérieu-en-Bugey","amberieu-en-bugey","amberieu en bugey","01","84","0",,"01500","45.9608475114","5.3729257777"
"4","01005","Ambérieux-en-Dombes","amberieux-en-dombes","amberieux en dombes","01","84","0",,"01330","45.9961799872","4.91227250796"
"5","01006","Ambléon","ambleon","ambleon","01","84","0",,"01300","45.7494989044","5.59432017366"
"6","01007","Ambronay","ambronay","ambronay","01","84","0",,"01500","46.0055913782","5.35760660735"
"7","01008","Ambutrix","ambutrix","ambutrix","01","84","0",,"01500","45.9367134524","5.3328092349"
"8","01009","Andert-et-Condon","andert-et-condon","andert et condon","01","84","0",,"01300","45.7873565333","5.65788307924"
"9","01010","Anglefort","anglefort","anglefort","01","84","0",,"01350","45.9093715116","5.79516005674"
"10","01011","Apremont","apremont","apremont","01","84","0",,"01100","46.2054981558","5.65781475272"
"11","01012","Aranc","aranc","aranc","01","84","0",,"01110","46.0015344029","5.51130637511"
"12","01013","Arandas","arandas","arandas","01","84","0",,"01230","45.8908155275","5.49870439091"
"13","01014","Arbent","arbent","arbent","01","84","0",,"01100","46.2834936005","5.69061651221"
"14","01015","Arboys en Bugey","arboys-en-bugey","arboys en bugey","01","84","0",,"01300","45.7237621545","5.65263086429"
"15","01016","Arbigny","arbigny","arbigny","01","84","0",,"01190","46.4776762988","4.9599416863"
"16","01017","Argis","argis","argis","01","84","0",,"01230","45.9337182132","5.48251100314"
"17","01019","Armix","armix","armix","01","84","0",,"01510","45.8541838459","5.58357838695"
"18","01021","Ars-sur-Formans","ars-sur-formans","ars sur formans","01","84","0",,"01480","45.9934611","4.82199649494"
"19","01022","Artemare","artemare","artemare","01","84","0",,"01510","45.8695891748","5.69065283943"
"20","01023","Asnières-sur-Saône","asnieres-sur-saone","asnieres sur saone","01","84","0",,"01570","46.3857281418","4.88387478623"
"21","01024","Attignat","attignat","attignat","01","84","0",,"01340","46.2861802203","5.1795233845"
