"REF_INSEE";"NAME";"SLUG";"NORMALIZED";"DEPARTMENT";"REGION";"IS_DISTRICT";"DISTRICT_OF";"ZIP_CODES";"LATITUDE";"LONGITUDE"
"97501";"Miquelon-Langlade";"miquelon-langlade";"miquelon langlade";"975";;"0";;"97500";"46.951611999";"-56.324419806"
"97502";"Saint-Pierre";"saint-pierre";"saint pierre";"975";;"0";;"97500";"46.779881399";"-56.189608569"
"97701";"Saint-Barthélemy";"saint-barthelemy";"saint barthelemy";"977";;"0";;"97133";"17.905584522";"-62.832619625"
"97801";"Saint-Martin";"saint-martin";"saint martin";"978";;"0";;"97150";"18.077620619";"-63.055070631"
"98411";"Îles Saint-Paul et Amsterdam";"iles-saint-paul-et-amsterdam";"iles saint paul et amsterdam";"984";;"0";;;"-38.258644000";"77.530983000"
"98412";"Archipel des Kerguelen";"archipel-des-kerguelen";"archipel des kerguelen";"984";;"0";;;"-49.394859000";"69.357579000"
"98413";"Archipel des Crozet";"archipel-des-crozet";"archipel des crozet";"984";;"0";;;"-46.324083000";"51.082847000"
"98414";"La Terre-Adélie";"la-terre-adelie";"la terre adelie";"984";;"0";;;"-66.663119000";"140.001931000"
"98415";"Îles Éparses de l'océan Indien";"iles-eparses-de-l-ocean-indien";"iles eparses de l ocean indien";"984";;"0";;;"-11.545416000";"47.339727000"
"98611";"Alo";"alo";"alo";"986";;"0";;"98610";"-14.357191664";"-178.029561662"
"98612";"Sigave";"sigave";"sigave";"986";;"0";;"98620";"-14.270411199";"-178.155263035"
"98613";"Uvea";"uvea";"uvea";"986";;"0";;"98600";"-13.281862538";"-176.161927918"
"98711";"Anaa";"anaa";"anaa";"987";;"0";;"98786,98790,98760";"-17.410531000";"-145.492830000"
"98712";"Arue";"arue";"arue";"987";;"0";;"98701";"-17.531545000";"-149.528851000"
"98713";"Arutua";"arutua";"arutua";"987";;"0";;"98761,98762,98785";"-15.293538000";"-146.785928000"
"98714";"Bora-Bora";"bora-bora";"bora bora";"987";;"0";;"98730";"-16.498962000";"-151.736639000"
"98715";"Faaa";"faaa";"faaa";"987";;"0";;"98704";"-17.563093000";"-149.596811000"
"98716";"Fakarava";"fakarava";"fakarava";"987";;"0";;"98790,98787,98763,98764";"-16.301956000";"-145.626189000"
"98717";"Fangatau";"fangatau";"fangatau";"987";;"0";;"98765,98766";"-15.821478000";"-140.888364000"
"98718";"Fatu-Hiva";"fatu-hiva";"fatu hiva";"987";;"0";;"98740";"-10.487820000";"-138.647943000"
"98719";"Gambier";"gambier";"gambier";"987";;"0";;"98755,98792,98793";"-23.121970000";"-134.974315000"
"98720";"Hao";"hao";"hao";"987";;"0";;"98790,98767";"-18.113403000";"-140.904359000"
"98721";"Hikueru";"hikueru";"hikueru";"987";;"0";;"98790,98768";"-17.550378000";"-142.610521000"
"98722";"Hitiaa O Te Ra";"hitiaa-o-te-ra";"hitiaa o te ra";"987";;"0";;"98705,98706,98708,98707";"-17.561262000";"-149.368478000"
"98723";"Hiva-Oa";"hiva-oa";"hiva oa";"987";;"0";;"98741,98749,98796";"-17.547756000";"-149.366204000"
"98724";"Huahine";"huahine";"huahine";"987";;"0";;"98731,98732";"-16.784023000";"-150.986709000"
"98725";"Mahina";"mahina";"mahina";"987";;"0";;"98709,98710";"-17.509741000";"-149.480726000"
"98726";"Makemo";"makemo";"makemo";"987";;"0";;"98790,98769,98789";"-16.606753000";"-143.701645000"
"98727";"Manihi";"manihi";"manihi";"987";;"0";;"98771,98770";"-14.464131000";"-146.054349000"
"98728";"Maupiti";"maupiti";"maupiti";"987";;"0";;"98732";"-16.444034000";"-152.259157000"
"98729";"Moorea-Maiao";"moorea-maiao";"moorea maiao";"987";;"0";;"98728,98729";"-17.547376000";"-149.821121000"
"98730";"Napuka";"napuka";"napuka";"987";;"0";;"98772";"-14.170352000";"-141.231715000"
"98731";"Nuku-Hiva";"nuku-hiva";"nuku hiva";"987";;"0";;"98742,98796,98748";"-8.862928000";"-140.141781000"
"98732";"Nukutavake";"nukutavake";"nukutavake";"987";;"0";;"98773,98788";"-19.280843000";"-138.783709000"
"98733";"Paea";"paea";"paea";"987";;"0";;"98711";"-17.690768000";"-149.582963000"
"98734";"Papara";"papara";"papara";"987";;"0";;"98712";"-17.760839000";"-149.503515000"
"98735";"Papeete";"papeete";"papeete";"987";;"0";;"98714";"-17.533005000";"-149.567520000"
"98736";"Pirae";"pirae";"pirae";"987";;"0";;"98716";"-17.535537000";"-149.547310000"
"98737";"Pukapuka";"pukapuka";"pukapuka";"987";;"0";;"98774";"-14.811570000";"-138.839127000"
"98738";"Punaauia";"punaauia";"punaauia";"987";;"0";;"98703,98718";"-17.594023000";"-149.612080000"
"98739";"Raivavae";"raivavae";"raivavae";"987";;"0";;"98750";"-23.869694000";"-147.687239000"
"98740";"Rangiroa";"rangiroa";"rangiroa";"987";;"0";;"98775,98776,98790,98777,98778";"-14.942337000";"-147.703164000"
"98741";"Rapa";"rapa";"rapa";"987";;"0";;"98751,98794";"-27.627045000";"-144.337009000"
"98742";"Reao";"reao";"reao";"987";;"0";;"98780,98779";"-18.466728000";"-136.463115000"
"98743";"Rimatara";"rimatara";"rimatara";"987";;"0";;"98752,98795";"-22.649157000";"-152.805149000"
"98744";"Rurutu";"rurutu";"rurutu";"987";;"0";;"98753";"-22.466437000";"-151.343346000"
"98745";"Tahaa";"tahaa";"tahaa";"987";;"0";;"98733,98734";"-16.612354000";"-151.495729000"
"98746";"Tahuata";"tahuata";"tahuata";"987";;"0";;"98743";"-9.938333000";"-139.085260000"
"98747";"Taiarapu-Est";"taiarapu-est";"taiarapu est";"987";;"0";;"98719,98720,98721,98722";"-17.733057000";"-149.306752000"
"98748";"Taiarapu-Ouest";"taiarapu-ouest";"taiarapu ouest";"987";;"0";;"98724,98723,98725";"-17.811245000";"-149.288740000"
"98749";"Takaroa";"takaroa";"takaroa";"987";;"0";;"98781,98790,98782";"-14.456888000";"-145.028072000"
"98750";"Taputapuatea";"taputapuatea";"taputapuatea";"987";;"0";;"98735";"-16.835938000";"-151.358598000"
