"REF_INSEE","NAME","SLUG","NORMALIZED","DEPARTMENT","REGION","IS_DISTRICT","DISTRICT_OF","ZIP_CODES","LATITUDE","LONGITUDE"
"97501","Miquelon-Langlade","miquelon-langlade","miquelon langlade","975",,"0",,"97500","46.951611999","-56.324419806"
"97502","Saint-Pierre","saint-pierre","saint pierre","975",,"0",,"97500","46.779881399","-56.189608569"
"97701","Saint-Barthélemy","saint-barthelemy","saint barthelemy","977","","0",,"97133","17.905584522","-62.832619625"
"97801","Saint-Martin","saint-martin","saint martin","978",,"0",,"97150","18.077620619","-63.055070631"
"98411","Îles Saint-Paul et Amsterdam","iles-saint-paul-et-amsterdam","iles saint paul et amsterdam","984",,"0",,"","-38.258644","77.530983"
"98412","Archipel des Kerguelen","archipel-des-kerguelen","archipel des kerguelen","984",,"0",,"","-49.394859","69.357579"
"98413","Archipel des Crozet","archipel-des-crozet","archipel des crozet","984",,"0",,"","-46.324083","51.082847"
"98414","La Terre-Adélie","la-terre-adelie","la terre adelie","984",,"0",,"","-66.663119","140.001931"
"98415","Îles Éparses de l'océan Indien","iles-eparses-de-l-ocean-indien","iles eparses de l ocean indien","984",,"0",,"","-11.545416","47.339727"
"98611","Alo","alo","alo","986",,"0",,"98610","-14.357191664","-178.029561662"
"98612","Sigave","sigave","sigave","986",,"0",,"98620","-14.270411199","-178.155263035"
"98613","Uvea","uvea","uvea","986",,"0",,"98600","-13.281862538","-176.161927918"
"98711","Anaa","anaa","anaa","987",,"0",,"98786,98790,98760","-17.410531","-145.492830"
"98712","Arue","arue","arue","987",,"0",,"98701","-17.531545","-149.528851"
"98713","Arutua","arutua","arutua","987",,"0",,"98761,98762,98785","-15.293538","-146.785928"
"98714","Bora-Bora","bora-bora","bora bora","987",,"0",,"98730","-16.498962","-151.736639"
"98715","Faaa","faaa","faaa","987",,"0",,"98704","-17.563093","-149.596811"
"98716","Fakarava","fakarava","fakarava","987",,"0",,"98790,98787,98763,98764","-16.301956","-145.626189"
"98717","Fangatau","fangatau","fangatau","987",,"0",,"98765,98766","-15.821478","-140.888364"
"98718","Fatu-Hiva","fatu-hiva","fatu hiva","987",,"0",,"98740","-10.487820","-138.647943"
"98719","Gambier","gambier","gambier","987",,"0",,"98755,98792,98793","-23.121970","-134.974315"
"98720","Hao","hao","hao","987",,"0",,"98790,98767","-18.113403","-140.904359"
"98721","Hikueru","hikueru","hikueru","987",,"0",,"98790,98768","-17.550378","-142.610521"
"98722","Hitiaa O Te Ra","hitiaa-o-te-ra","hitiaa o te ra","987",,"0",,"98705,98706,98708,98707","-17.561262","-149.368478"
"98723","Hiva-Oa","hiva-oa","hiva oa","987",,"0",,"98741,98749,98796","-17.547756","-149.366204"
"98724","Huahine","huahine","huahine","987",,"0",,"98731,98732","-16.784023","-150.986709"
"98725","Mahina","mahina","mahina","987",,"0",,"98709,98710","-17.509741","-149.480726"
"98726","Makemo","makemo","makemo","987",,"0",,"98790,98769,98789","-16.606753","-143.701645"
"98727","Manihi","manihi","manihi","987",,"0",,"98771,98770","-14.464131","-146.054349"
"98728","Maupiti","maupiti","maupiti","987",,"0",,"98732","-16.444034","-152.259157"
"98729","Moorea-Maiao","moorea-maiao","moorea maiao","987",,"0",,"98728,98729","-17.547376","-149.821121"
"98730","Napuka","napuka","napuka","987",,"0",,"98772","-14.170352","-141.231715"
"98731","Nuku-Hiva","nuku-hiva","nuku hiva","987",,"0",,"98742,98796,98748","-8.862928","-140.141781"
"98732","Nukutavake","nukutavake","nukutavake","987",,"0",,"98773,98788","-19.280843","-138.783709"
"98733","Paea","paea","paea","987",,"0",,"98711","-17.690768","-149.582963"
"98734","Papara","papara","papara","987",,"0",,"98712","-17.760839","-149.503515"
"98735","Papeete","papeete","papeete","987",,"0",,"98714","-17.533005","-149.567520"
"98736","Pirae","pirae","pirae","987",,"0",,"98716","-17.535537","-149.547310"
"98737","Pukapuka","pukapuka","pukapuka","987",,"0",,"98774","-14.811570","-138.839127"
"98738","Punaauia","punaauia","punaauia","987",,"0",,"98703,98718","-17.594023","-149.612080"
"98739","Raivavae","raivavae","raivavae","987",,"0",,"98750","-23.869694","-147.687239"
"98740","Rangiroa","rangiroa","rangiroa","987",,"0",,"98775,98776,98790,98777,98778","-14.942337","-147.703164"
"98741","Rapa","rapa","rapa","987",,"0",,"98751,98794","-27.627045","-144.337009"
"98742","Reao","reao","reao","987",,"0",,"98780,98779","-18.466728","-136.463115"
"98743","Rimatara","rimatara","rimatara","987",,"0",,"98752,98795","-22.649157","-152.805149"
"98744","Rurutu","rurutu","rurutu","987",,"0",,"98753","-22.466437","-151.343346"
"98745","Tahaa","tahaa","tahaa","987",,"0",,"98733,98734","-16.612354","-151.495729"
"98746","Tahuata","tahuata","tahuata","987",,"0",,"98743","-9.938333","-139.085260"
"98747","Taiarapu-Est","taiarapu-est","taiarapu est","987",,"0",,"98719,98720,98721,98722","-17.733057","-149.306752"
"98748","Taiarapu-Ouest","taiarapu-ouest","taiarapu ouest","987",,"0",,"98724,98723,98725","-17.811245","-149.288740"
"98749","Takaroa","takaroa","takaroa","987",,"0",,"98781,98790,98782","-14.456888","-145.028072"
"98750","Taputapuatea","taputapuatea","taputapuatea","987",,"0",,"98735","-16.835938","-151.358598"
"98751","Tatakoto","tatakoto","tatakoto","987",,"0",,"98783","-17.345460","-138.451821"
"98752","Teva I Uta","teva-i-uta","teva i uta","987",,"0",,"98726,98727","-17.764363","-149.401823"
"98753","Tubuai","tubuai","tubuai","987",,"0",,"98754","-23.381415","-149.490145"
"98754","Tumaraa","tumaraa","tumaraa","987",,"0",,"98735","-16.787674","-151.479752"
"98755","Tureia","tureia","tureia","987",,"0",,"98784","-20.771083","-138.564291"
"98756","Ua-Huka","ua-huka","ua huka","987",,"0",,"98747,98744","-8.914607","-139.533869"
"98757","Ua-Pou","ua-pou","ua pou","987",,"0",,"98745,98746","-9.382538","-140.058951"
"98758","Uturoa","uturoa","uturoa","987",,"0",,"98735","-16.725701","-151.457907"
"98801","Belep","belep","belep","988",,"0",,"98811","-19.750122","163.666335"
